Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day charge,Total eve minutes,Total eve charge,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
142.0,0.0,0.0,0.0,84.8,14.42,136.7,11.62,250.5,148.0,14.2,6.0,2
75.0,0.0,0.0,0.0,226.1,38.44,201.5,17.13,246.2,98.0,10.3,5.0,1
172.0,0.0,0.0,0.0,212.0,36.04,31.2,2.65,293.3,78.0,12.6,10.0,3
12.0,0.0,0.0,0.0,249.6,42.43,252.4,21.45,280.2,90.0,11.8,3.0,1
57.0,0.0,1.0,25.0,176.8,30.06,195.0,16.58,213.5,116.0,8.3,4.0,0
72.0,0.0,1.0,37.0,220.0,37.4,217.3,18.47,152.8,71.0,14.7,6.0,3
78.0,0.0,0.0,0.0,130.8,22.24,223.7,19.01,227.8,108.0,10.0,5.0,1
136.0,1.0,1.0,33.0,203.9,34.66,187.6,15.95,101.7,107.0,10.5,6.0,3
149.0,0.0,0.0,0.0,140.4,23.87,271.8,23.1,188.3,108.0,11.1,9.0,1
98.0,0.0,0.0,0.0,126.3,21.47,166.8,14.18,187.8,135.0,9.4,2.0,3
135.0,1.0,1.0,41.0,173.1,29.43,203.9,17.33,122.2,78.0,14.6,15.0,0
34.0,0.0,0.0,0.0,124.8,21.22,282.2,23.99,311.5,78.0,10.0,4.0,2
160.0,0.0,0.0,0.0,85.8,14.59,165.3,14.05,178.5,92.0,9.2,4.0,3
64.0,0.0,0.0,0.0,154.0,26.18,225.8,19.19,265.3,86.0,3.5,3.0,1
59.0,0.0,1.0,28.0,120.9,20.55,213.0,18.11,163.1,116.0,8.5,5.0,2
142.0,0.0,0.0,0.0,187.0,31.79,134.6,11.44,242.2,127.0,7.4,5.0,2
97.0,0.0,1.0,24.0,133.2,22.64,217.2,18.46,70.6,79.0,11.0,3.0,1
52.0,0.0,0.0,0.0,191.9,32.62,269.8,22.93,236.8,87.0,7.8,5.0,3
60.0,0.0,0.0,0.0,220.6,37.5,211.1,17.94,249.0,129.0,6.8,3.0,1
96.0,0.0,0.0,0.0,160.2,27.23,267.5,22.74,228.5,68.0,9.3,5.0,2
87.0,0.0,0.0,0.0,151.0,25.67,219.7,18.67,203.9,127.0,9.7,3.0,5
81.0,0.0,0.0,0.0,175.5,29.84,249.3,21.19,270.2,98.0,10.2,3.0,1
141.0,0.0,0.0,0.0,126.9,21.57,180.0,15.3,140.8,128.0,8.0,2.0,1
121.0,0.0,1.0,30.0,198.4,33.73,75.3,6.4,181.2,77.0,5.8,3.0,3
125.0,0.0,0.0,0.0,229.3,38.98,177.4,15.08,189.3,95.0,12.0,8.0,1
174.0,0.0,0.0,0.0,192.1,32.66,169.9,14.44,166.6,54.0,11.4,4.0,1
116.0,0.0,1.0,34.0,268.6,45.66,178.2,15.15,166.3,106.0,11.6,3.0,2
149.0,0.0,1.0,28.0,180.7,30.72,187.8,15.96,265.5,53.0,12.6,3.0,3
38.0,0.0,0.0,0.0,131.2,22.3,162.9,13.85,159.0,106.0,8.2,6.0,2
40.0,0.0,1.0,41.0,148.1,25.18,169.5,14.41,214.1,102.0,6.2,5.0,2
43.0,1.0,0.0,0.0,251.5,42.76,212.8,18.09,157.8,67.0,9.3,4.0,0
113.0,1.0,0.0,0.0,125.2,21.28,206.4,17.54,129.3,139.0,8.3,8.0,0
126.0,0.0,0.0,0.0,211.6,35.97,216.9,18.44,153.5,60.0,7.8,1.0,1
150.0,0.0,0.0,0.0,178.9,30.41,169.1,14.37,148.6,100.0,13.8,3.0,4
138.0,0.0,0.0,0.0,241.8,41.11,170.5,14.49,295.3,104.0,11.8,7.0,3
162.0,0.0,1.0,46.0,224.9,38.23,188.2,16.0,254.6,61.0,12.1,2.0,0
147.0,0.0,0.0,0.0,248.6,42.26,148.9,12.66,172.5,109.0,8.0,4.0,3
90.0,0.0,0.0,0.0,203.4,34.58,226.7,19.27,152.4,105.0,7.3,4.0,1
50.0,0.0,0.0,0.0,157.1,26.71,223.3,18.98,181.4,111.0,6.1,2.0,1
82.0,0.0,0.0,0.0,300.3,51.05,181.0,15.39,270.1,73.0,11.7,4.0,0
144.0,0.0,0.0,0.0,61.6,10.47,77.1,6.55,173.0,99.0,8.2,7.0,4
70.0,0.0,0.0,0.0,170.2,28.93,155.2,13.19,228.6,76.0,15.0,2.0,1
144.0,0.0,0.0,0.0,201.1,34.19,303.5,25.8,224.0,119.0,13.2,2.0,1
116.0,1.0,0.0,0.0,215.4,36.62,204.8,17.41,278.5,109.0,12.6,5.0,3
55.0,0.0,1.0,25.0,165.6,28.15,136.1,11.57,175.7,90.0,11.0,2.0,3
70.0,0.0,1.0,24.0,249.5,42.42,259.7,22.07,222.7,68.0,9.8,4.0,1
106.0,0.0,0.0,0.0,210.6,35.8,249.2,21.18,191.4,88.0,12.4,1.0,2
94.0,0.0,0.0,0.0,157.9,26.84,155.0,13.18,189.6,84.0,8.0,5.0,4
111.0,0.0,0.0,0.0,214.3,36.43,208.5,17.72,182.4,98.0,12.0,2.0,1
74.0,0.0,1.0,35.0,154.1,26.2,123.4,10.49,202.1,57.0,10.9,9.0,2
128.0,0.0,0.0,0.0,237.9,40.44,247.6,21.05,208.9,68.0,13.9,4.0,1
82.0,0.0,0.0,0.0,143.9,24.46,194.9,16.57,109.6,94.0,11.1,2.0,1
80.0,0.0,0.0,0.0,124.3,21.13,173.0,14.71,253.2,62.0,7.9,9.0,1
78.0,0.0,0.0,0.0,252.9,42.99,178.4,15.16,263.9,105.0,9.5,7.0,3
90.0,0.0,0.0,0.0,179.1,30.45,190.6,16.2,127.7,91.0,10.6,7.0,3
104.0,0.0,0.0,0.0,278.4,47.33,81.0,6.89,163.2,137.0,9.8,5.0,1
99.0,0.0,0.0,0.0,198.2,33.69,207.3,17.62,190.9,113.0,8.7,3.0,4
120.0,0.0,0.0,0.0,212.1,36.06,209.4,17.8,167.2,96.0,5.3,5.0,1
98.0,0.0,1.0,21.0,161.2,27.4,252.2,21.44,160.2,92.0,4.4,8.0,4
135.0,0.0,0.0,0.0,151.7,25.79,119.0,10.12,180.0,100.0,10.5,6.0,0
122.0,0.0,0.0,0.0,170.5,28.99,173.7,14.76,248.6,75.0,11.3,2.0,1
95.0,0.0,0.0,0.0,238.1,40.48,187.2,15.91,190.0,115.0,11.8,4.0,4
93.0,0.0,1.0,21.0,117.9,20.04,164.5,13.98,217.0,86.0,9.8,3.0,1
157.0,0.0,0.0,0.0,229.8,39.07,147.9,12.57,241.4,108.0,9.6,7.0,3
120.0,0.0,0.0,0.0,165.0,28.05,317.2,26.96,119.2,86.0,8.3,8.0,1
103.0,0.0,0.0,0.0,185.0,31.45,223.3,18.98,222.8,91.0,12.6,2.0,2
98.0,0.0,0.0,0.0,161.0,27.37,190.9,16.23,227.7,113.0,12.1,4.0,4
125.0,0.0,0.0,0.0,126.7,21.54,206.0,17.51,247.8,114.0,13.3,7.0,1
36.0,1.0,1.0,42.0,196.8,33.46,254.9,21.67,138.3,126.0,20.0,6.0,0
64.0,0.0,0.0,0.0,162.6,27.64,152.3,12.95,57.5,122.0,14.2,3.0,1
74.0,0.0,0.0,0.0,282.5,48.03,219.9,18.69,170.0,115.0,9.4,4.0,1
112.0,0.0,1.0,36.0,113.7,19.33,157.5,13.39,177.6,118.0,10.0,3.0,2
46.0,0.0,0.0,0.0,210.2,35.73,227.3,19.32,200.1,116.0,13.1,7.0,1
41.0,0.0,1.0,22.0,213.8,36.35,141.8,12.05,142.2,123.0,7.2,3.0,0
121.0,0.0,0.0,0.0,190.7,32.42,183.5,15.6,220.8,103.0,9.8,4.0,3
193.0,0.0,0.0,0.0,170.9,29.05,132.3,11.25,112.9,89.0,11.6,3.0,1
130.0,0.0,0.0,0.0,154.2,26.21,110.2,9.37,227.4,117.0,9.2,5.0,2
85.0,0.0,0.0,0.0,201.4,34.24,229.4,19.5,252.5,106.0,12.0,3.0,1
162.0,0.0,0.0,0.0,70.7,12.02,157.5,13.39,154.8,82.0,9.1,3.0,4
61.0,0.0,1.0,27.0,187.5,31.88,146.6,12.46,225.7,129.0,6.4,6.0,4
92.0,0.0,0.0,0.0,91.7,15.59,193.7,16.46,175.0,86.0,9.2,4.0,2
131.0,0.0,1.0,36.0,214.2,36.41,161.7,13.74,264.7,102.0,9.5,4.0,3
90.0,0.0,0.0,0.0,145.5,24.74,217.7,18.5,146.9,123.0,10.9,2.0,3
78.0,0.0,0.0,0.0,231.0,39.27,230.4,19.58,261.4,120.0,9.5,3.0,1
82.0,0.0,0.0,0.0,200.3,34.05,201.2,17.1,206.1,60.0,7.1,1.0,4
163.0,0.0,0.0,0.0,197.0,33.49,202.6,17.22,206.4,80.0,9.1,10.0,1
91.0,1.0,0.0,0.0,129.9,22.08,173.3,14.73,247.2,130.0,11.2,3.0,3
75.0,0.0,1.0,21.0,175.8,29.89,217.5,18.49,237.5,134.0,5.3,4.0,5
91.0,0.0,0.0,0.0,203.1,34.53,210.1,17.86,195.6,129.0,12.0,3.0,3
127.0,0.0,1.0,36.0,183.2,31.14,126.8,10.78,263.3,71.0,11.2,8.0,1
113.0,0.0,1.0,23.0,205.0,34.85,152.0,12.92,158.6,59.0,10.2,5.0,2
110.0,0.0,0.0,0.0,148.5,25.25,276.4,23.49,193.6,112.0,12.4,3.0,1
120.0,0.0,1.0,39.0,200.3,34.05,220.4,18.73,253.8,116.0,10.5,4.0,0
157.0,0.0,1.0,28.0,192.6,32.74,195.5,16.62,109.7,139.0,6.8,5.0,3
103.0,0.0,0.0,0.0,246.5,41.91,195.5,16.62,200.5,96.0,11.7,4.0,1
117.0,1.0,0.0,0.0,167.1,28.41,177.5,15.09,249.4,132.0,14.1,7.0,2
140.0,0.0,0.0,0.0,231.9,39.42,160.1,13.61,110.4,98.0,14.3,6.0,3
83.0,1.0,0.0,0.0,271.5,46.16,216.3,18.39,121.1,105.0,11.7,4.0,1
145.0,0.0,1.0,43.0,257.7,43.81,162.1,13.78,286.9,86.0,11.1,4.0,2
113.0,0.0,0.0,0.0,193.8,32.95,221.4,18.82,172.3,67.0,10.6,6.0,1
56.0,0.0,0.0,0.0,226.0,38.42,248.5,21.12,140.5,142.0,6.9,11.0,1
96.0,0.0,0.0,0.0,260.4,44.27,146.0,12.41,269.5,87.0,11.5,4.0,5
151.0,0.0,0.0,0.0,178.7,30.38,292.1,24.83,265.9,101.0,9.8,4.0,0
83.0,0.0,0.0,0.0,337.4,57.36,227.4,19.33,153.9,114.0,15.8,7.0,0
139.0,0.0,1.0,23.0,157.6,26.79,247.0,21.0,259.2,112.0,13.7,2.0,0
115.0,0.0,1.0,24.0,142.1,24.16,183.4,15.59,164.8,114.0,9.6,4.0,1
87.0,0.0,0.0,0.0,136.3,23.17,172.2,14.64,137.5,101.0,7.1,5.0,0
141.0,0.0,0.0,0.0,217.1,36.91,241.5,20.53,253.5,103.0,12.0,6.0,0
141.0,0.0,1.0,36.0,187.5,31.88,241.4,20.52,229.5,105.0,10.5,5.0,3
62.0,0.0,0.0,0.0,98.9,16.81,135.4,11.51,236.6,82.0,12.2,1.0,1
146.0,0.0,0.0,0.0,206.3,35.07,148.6,12.63,167.2,91.0,6.1,3.0,1
92.0,0.0,1.0,33.0,243.1,41.33,213.8,18.17,228.7,104.0,12.1,2.0,2
185.0,0.0,1.0,31.0,189.8,32.27,163.3,13.88,264.8,126.0,7.5,3.0,1
148.0,0.0,0.0,0.0,202.0,34.34,243.2,20.67,261.3,90.0,10.9,3.0,1
94.0,0.0,1.0,38.0,170.1,28.92,193.3,16.43,105.9,73.0,12.8,4.0,1
68.0,0.0,0.0,0.0,237.1,40.31,223.5,19.0,97.4,79.0,13.2,2.0,1
179.0,0.0,0.0,0.0,219.2,37.26,149.4,12.7,244.7,104.0,6.1,5.0,0
94.0,0.0,0.0,0.0,252.6,42.94,169.0,14.37,170.9,106.0,11.1,7.0,2
62.0,0.0,0.0,0.0,147.1,25.01,190.4,16.18,195.2,115.0,12.2,3.0,0
116.0,0.0,0.0,0.0,173.5,29.5,194.1,16.5,208.0,112.0,16.2,10.0,3
70.0,0.0,0.0,0.0,232.1,39.46,292.3,24.85,201.2,112.0,0.0,0.0,3
94.0,1.0,1.0,23.0,197.1,33.51,214.5,18.23,282.2,103.0,9.5,5.0,4
126.0,0.0,0.0,0.0,58.2,9.89,138.7,11.79,136.8,91.0,11.9,1.0,5
67.0,0.0,1.0,36.0,115.6,19.65,237.7,20.2,169.9,103.0,9.9,12.0,2
19.0,0.0,0.0,0.0,186.1,31.64,254.3,21.62,214.0,127.0,14.6,7.0,2
170.0,1.0,0.0,0.0,259.9,44.18,245.0,20.83,134.4,121.0,8.4,3.0,3
73.0,0.0,0.0,0.0,214.3,36.43,268.5,22.82,241.2,92.0,10.8,13.0,1
106.0,0.0,0.0,0.0,158.7,26.98,64.3,5.47,198.5,103.0,10.2,4.0,1
164.0,0.0,0.0,0.0,160.6,27.3,163.2,13.87,187.1,112.0,9.0,3.0,1
51.0,0.0,0.0,0.0,232.4,39.51,187.4,15.93,231.2,107.0,9.1,3.0,1
107.0,0.0,0.0,0.0,133.8,22.75,180.5,15.34,112.2,115.0,8.9,4.0,0
130.0,0.0,0.0,0.0,176.9,30.07,90.7,7.71,238.0,69.0,9.5,2.0,1
80.0,0.0,0.0,0.0,209.9,35.68,195.1,16.58,208.2,119.0,8.8,4.0,2
94.0,0.0,0.0,0.0,137.5,23.38,203.2,17.27,150.0,131.0,13.4,2.0,0
118.0,0.0,1.0,23.0,289.5,49.22,166.6,14.16,119.1,88.0,9.5,4.0,1
117.0,0.0,1.0,23.0,198.1,33.68,177.0,15.05,180.5,92.0,6.8,6.0,1
78.0,0.0,0.0,0.0,149.7,25.45,182.2,15.49,261.5,126.0,9.7,8.0,0
131.0,1.0,1.0,26.0,292.9,49.79,199.7,16.97,255.3,127.0,13.8,7.0,4
63.0,0.0,0.0,0.0,83.0,14.11,177.0,15.05,245.7,89.0,13.0,3.0,0
53.0,0.0,1.0,24.0,145.7,24.77,220.5,18.74,249.9,96.0,13.1,5.0,3
62.0,0.0,0.0,0.0,182.3,30.99,328.2,27.9,245.0,131.0,11.2,1.0,2
97.0,0.0,0.0,0.0,218.0,37.06,184.0,15.64,240.5,110.0,6.4,8.0,3
105.0,0.0,0.0,0.0,140.6,23.9,178.6,15.18,217.0,83.0,6.8,3.0,2
157.0,0.0,0.0,0.0,152.7,25.96,257.5,21.89,198.1,93.0,9.4,4.0,1
66.0,0.0,1.0,36.0,106.7,18.14,209.8,17.83,190.4,117.0,12.1,2.0,1
38.0,0.0,0.0,0.0,194.4,33.05,186.7,15.87,223.3,90.0,10.8,5.0,3
106.0,0.0,0.0,0.0,213.9,36.36,151.9,12.91,260.1,124.0,12.2,5.0,3
99.0,0.0,0.0,0.0,217.2,36.92,246.7,20.97,226.1,89.0,15.8,7.0,3
144.0,1.0,0.0,0.0,203.5,34.6,247.6,21.05,194.3,94.0,11.9,11.0,0
82.0,0.0,1.0,24.0,155.2,26.38,244.5,20.78,122.4,68.0,10.7,3.0,1
86.0,0.0,1.0,31.0,167.6,28.49,113.0,9.61,246.9,121.0,12.2,6.0,1
70.0,1.0,0.0,0.0,226.7,38.54,228.1,19.39,73.2,93.0,17.6,4.0,2
93.0,0.0,0.0,0.0,179.3,30.48,178.6,15.18,225.2,131.0,11.5,6.0,3
93.0,0.0,0.0,0.0,151.4,25.74,186.4,15.84,172.5,120.0,10.9,3.0,0
120.0,0.0,0.0,0.0,180.0,30.6,224.2,19.06,265.4,91.0,4.7,7.0,3
136.0,0.0,0.0,0.0,250.2,42.53,267.1,22.7,151.0,114.0,13.0,2.0,1
106.0,0.0,0.0,0.0,223.0,37.91,110.1,9.36,188.7,107.0,7.1,12.0,0
81.0,0.0,0.0,0.0,183.6,31.21,152.6,12.97,212.2,99.0,12.2,6.0,3
127.0,0.0,1.0,22.0,166.0,28.22,174.5,14.83,244.9,68.0,10.2,6.0,1
35.0,0.0,0.0,0.0,149.3,25.38,242.2,20.59,174.3,104.0,8.9,6.0,2
88.0,0.0,0.0,0.0,65.4,11.12,168.2,14.3,236.0,113.0,13.8,1.0,2
123.0,0.0,0.0,0.0,206.9,35.17,244.7,20.8,221.5,136.0,7.7,2.0,3
126.0,0.0,1.0,27.0,186.2,31.65,189.6,16.12,76.5,139.0,9.6,3.0,2
104.0,0.0,1.0,23.0,280.2,47.63,220.5,18.74,136.9,102.0,13.3,3.0,4
93.0,1.0,0.0,0.0,312.0,53.04,129.4,11.0,217.6,74.0,10.5,2.0,0
63.0,1.0,1.0,36.0,199.0,33.83,291.3,24.76,197.6,92.0,11.0,6.0,1
100.0,0.0,0.0,0.0,203.1,34.53,217.0,18.45,180.9,122.0,13.5,2.0,3
53.0,0.0,0.0,0.0,168.8,28.7,220.3,18.73,154.3,113.0,10.9,2.0,0
92.0,1.0,0.0,0.0,173.1,29.43,240.3,20.43,233.2,117.0,9.0,5.0,1
110.0,0.0,1.0,40.0,202.6,34.44,118.8,10.1,234.9,98.0,9.0,9.0,2
110.0,0.0,0.0,0.0,74.5,12.67,200.8,17.07,192.2,101.0,9.8,7.0,3
73.0,0.0,0.0,0.0,192.2,32.67,168.6,14.33,139.8,87.0,9.4,6.0,1
138.0,0.0,0.0,0.0,220.2,37.43,88.3,7.51,195.3,79.0,12.9,5.0,0
137.0,1.0,0.0,0.0,135.1,22.97,134.1,11.4,223.1,81.0,12.3,2.0,2
36.0,0.0,0.0,0.0,253.4,43.08,182.4,15.5,275.8,103.0,8.4,2.0,1
85.0,0.0,0.0,0.0,225.0,38.25,176.9,15.04,194.3,110.0,7.1,2.0,3
108.0,0.0,0.0,0.0,198.5,33.75,267.8,22.76,354.9,75.0,9.4,3.0,0
22.0,0.0,0.0,0.0,110.3,18.75,166.5,14.15,202.3,96.0,9.5,5.0,0
107.0,0.0,1.0,37.0,60.0,10.2,102.2,8.69,261.8,106.0,11.1,3.0,0
51.0,0.0,0.0,0.0,214.8,36.52,149.7,12.72,283.4,66.0,10.2,5.0,0
33.0,0.0,1.0,29.0,157.4,26.76,117.9,10.02,279.2,79.0,13.9,11.0,4
106.0,0.0,0.0,0.0,207.9,35.34,172.0,14.62,191.8,143.0,14.4,7.0,4
82.0,0.0,0.0,0.0,207.0,35.19,232.9,19.8,172.4,108.0,9.1,8.0,3
97.0,1.0,0.0,0.0,143.7,24.43,273.0,23.21,178.3,81.0,10.9,3.0,0
108.0,0.0,0.0,0.0,138.6,23.56,172.3,14.65,231.6,92.0,9.8,3.0,1
114.0,0.0,0.0,0.0,84.7,14.4,249.9,21.24,193.4,95.0,14.5,8.0,1
59.0,0.0,0.0,0.0,155.2,26.38,235.3,20.0,169.4,80.0,8.7,4.0,1
24.0,0.0,1.0,25.0,164.9,28.03,209.3,17.79,231.2,55.0,6.7,9.0,1
151.0,0.0,0.0,0.0,134.5,22.87,143.1,12.16,223.9,61.0,15.4,1.0,1
117.0,0.0,0.0,0.0,143.3,24.36,211.3,17.96,185.2,96.0,11.5,3.0,1
114.0,0.0,1.0,30.0,206.2,35.05,260.0,22.1,291.6,83.0,11.4,6.0,1
114.0,0.0,1.0,28.0,225.8,38.39,193.0,16.41,232.4,100.0,8.4,9.0,4
119.0,0.0,0.0,0.0,138.3,23.51,170.5,14.49,263.9,98.0,13.5,6.0,3
118.0,1.0,0.0,0.0,160.0,27.2,175.4,14.91,184.8,99.0,9.9,3.0,2
101.0,0.0,0.0,0.0,206.6,35.12,224.9,19.12,249.9,100.0,14.6,3.0,0
117.0,0.0,0.0,0.0,134.7,22.9,180.0,15.3,200.9,104.0,7.7,3.0,1
49.0,0.0,1.0,28.0,214.4,36.45,235.2,19.99,206.2,107.0,8.0,13.0,3
139.0,0.0,0.0,0.0,192.8,32.78,234.4,19.92,203.2,101.0,13.0,3.0,3
92.0,0.0,1.0,28.0,151.1,25.69,194.8,16.56,239.2,114.0,10.0,3.0,1
148.0,1.0,0.0,0.0,218.9,37.21,208.0,17.68,203.3,99.0,11.1,4.0,0
131.0,0.0,1.0,25.0,192.7,32.76,225.9,19.2,254.2,59.0,10.9,6.0,2
146.0,1.0,0.0,0.0,204.4,34.75,219.1,18.62,222.7,114.0,10.5,6.0,3
48.0,0.0,1.0,37.0,211.7,35.99,159.9,13.59,144.1,80.0,12.2,1.0,1
86.0,0.0,1.0,28.0,221.6,37.67,288.4,24.51,240.3,105.0,9.0,2.0,1
71.0,0.0,0.0,0.0,197.9,33.64,181.5,15.43,281.4,56.0,6.7,5.0,3
137.0,0.0,0.0,0.0,206.4,35.09,128.0,10.88,194.5,84.0,8.8,5.0,2
137.0,0.0,0.0,0.0,205.9,35.0,209.3,17.79,289.9,84.0,14.5,4.0,2
167.0,0.0,0.0,0.0,207.6,35.29,132.4,11.25,255.2,98.0,14.1,5.0,0
132.0,0.0,0.0,0.0,99.5,16.92,129.1,10.97,125.1,124.0,9.7,3.0,0
94.0,0.0,0.0,0.0,177.1,30.11,194.0,16.49,146.7,108.0,5.9,4.0,1
96.0,0.0,1.0,18.0,172.7,29.36,133.4,11.34,259.5,70.0,9.8,3.0,1
166.0,0.0,0.0,0.0,204.2,34.71,179.9,15.29,216.8,109.0,9.5,5.0,1
74.0,0.0,0.0,0.0,85.7,14.57,247.7,21.05,142.4,85.0,10.1,5.0,2
36.0,0.0,0.0,0.0,157.6,26.79,184.3,15.67,240.4,99.0,11.9,1.0,0
113.0,0.0,0.0,0.0,215.5,36.64,218.7,18.59,207.1,91.0,6.6,9.0,4
67.0,0.0,0.0,0.0,171.7,29.19,110.4,9.38,195.4,111.0,11.9,4.0,2
158.0,0.0,0.0,0.0,158.0,26.86,292.5,24.86,241.1,89.0,9.1,4.0,1
136.0,0.0,0.0,0.0,92.0,15.64,253.6,21.56,214.1,90.0,10.3,10.0,1
196.0,0.0,0.0,0.0,234.0,39.78,249.5,21.21,173.1,70.0,9.1,5.0,2
113.0,0.0,0.0,0.0,272.1,46.26,268.5,22.82,213.8,105.0,8.5,10.0,1
112.0,0.0,0.0,0.0,194.4,33.05,190.3,16.18,183.4,107.0,11.4,2.0,0
209.0,0.0,0.0,0.0,227.2,38.62,258.4,21.96,183.5,74.0,8.9,4.0,3
62.0,0.0,0.0,0.0,248.7,42.28,220.0,18.7,265.7,78.0,13.2,2.0,1
110.0,0.0,1.0,38.0,236.3,40.17,195.9,16.65,183.5,82.0,9.7,6.0,1
16.0,0.0,0.0,0.0,205.6,34.95,169.5,14.41,220.1,64.0,10.9,3.0,0
73.0,0.0,0.0,0.0,94.1,16.0,280.3,23.83,205.0,77.0,9.8,4.0,0
128.0,0.0,0.0,0.0,125.2,21.28,205.4,17.46,254.4,111.0,18.9,2.0,0
39.0,0.0,0.0,0.0,60.4,10.27,306.2,26.03,123.9,46.0,12.4,3.0,1
103.0,0.0,1.0,28.0,121.0,20.57,270.4,22.98,160.5,76.0,7.7,4.0,2
119.0,0.0,1.0,29.0,117.8,20.03,256.8,21.83,147.6,76.0,7.6,3.0,3
173.0,0.0,1.0,21.0,232.4,39.51,211.9,18.01,273.0,102.0,5.0,5.0,3
128.0,1.0,1.0,32.0,223.5,38.0,188.8,16.05,154.9,101.0,9.4,2.0,2
86.0,0.0,0.0,0.0,176.3,29.97,259.2,22.03,287.4,78.0,6.2,3.0,0
114.0,0.0,1.0,32.0,125.2,21.28,177.8,15.11,232.4,89.0,12.9,3.0,1
104.0,0.0,0.0,0.0,138.7,23.58,256.9,21.84,234.9,74.0,10.0,3.0,0
148.0,0.0,0.0,0.0,86.3,14.67,246.6,20.96,251.6,91.0,11.3,4.0,1
129.0,0.0,0.0,0.0,207.0,35.19,154.9,13.17,245.1,112.0,13.4,5.0,3
100.0,0.0,1.0,30.0,58.8,10.0,219.5,18.66,152.3,118.0,7.1,3.0,0
143.0,0.0,1.0,33.0,239.2,40.66,235.5,20.02,156.3,95.0,9.5,4.0,1
76.0,0.0,0.0,0.0,198.3,33.71,217.1,18.45,188.4,96.0,12.5,3.0,0
158.0,0.0,0.0,0.0,205.2,34.88,240.6,20.45,79.7,108.0,14.4,12.0,0
116.0,0.0,0.0,0.0,192.1,32.66,312.9,26.6,130.2,94.0,7.9,2.0,3
54.0,0.0,0.0,0.0,272.6,46.34,248.7,21.14,197.4,111.0,9.5,2.0,1
86.0,0.0,0.0,0.0,128.3,21.81,197.1,16.75,138.4,152.0,12.2,5.0,7
108.0,0.0,0.0,0.0,169.6,28.83,264.1,22.45,206.3,78.0,9.3,4.0,0
66.0,0.0,0.0,0.0,201.3,34.22,152.8,12.99,233.2,101.0,7.5,4.0,1
151.0,0.0,1.0,17.0,214.7,36.5,138.5,11.77,169.1,44.0,8.6,4.0,1
99.0,0.0,0.0,0.0,169.2,28.76,271.5,23.08,170.2,104.0,10.6,2.0,0
55.0,0.0,0.0,0.0,194.1,33.0,176.6,15.01,302.8,136.0,7.0,7.0,2
78.0,0.0,0.0,0.0,225.1,38.27,199.2,16.93,175.5,102.0,14.6,2.0,0
89.0,0.0,0.0,0.0,213.0,36.21,176.6,15.01,262.6,126.0,9.1,1.0,1
